Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
10289,Bendemeer,Good,,,,,,,
10290,Bendick Murrell,Poor,,,,,,,
10291,Bendolba,Poor,,,,,,,
10292,Bendoura,Poor,,,,,,,
10293,Benerembah,Poor,,,,,,,
10294,Bengalla,Poor,,,,,,,
10295,Bennetts Green,Poor,,,,,,,
10296,Benolong,Poor,,,,,,,
10297,Bensville,Good,,,,,,,
10298,Bentley (NSW),Poor,,,,,,,
10299,Berala,Good,,,,,,,
10300,Berambing,Poor,,,,,,,
10301,Beresfield,Good,,,,,,,
10302,Bergalia,Poor,,,,,,,
10303,Berkeley,Good,,,,,,,
10304,Berkeley Vale,Good,,,,,,,
10305,Berkshire Park,Good,,,,,,,
10306,Berlang,Poor,,,,,,,
10307,Bermagui,Good,,,,,,,
10308,Berowra,Good,,,,,,,
10309,Berowra Creek,Poor,,,,,,,
10310,Berowra Heights,Good,,,,,,,
10311,Berowra Waters,Poor,,,,,,,
10312,Berrambool,Poor,,,,,,,
10313,Berrara,Good,,,,,,,
10314,Berremangra,Poor,,,,,,,
10315,Berrico,Poor,,,,,,,
10316,Berridale,Poor,,,,,,,
10317,Berrigal,Poor,,,,,,,
10318,Berrigan,Good,,,,,,,
10319,Berrilee,Poor,,,,,,,
10320,Berrima,Good,,,,,,,
10321,Berringer Lake,Poor,,,,,,,
10322,Berry,Good,,,,,,,
10323,Berry Jerry,Poor,,,,,,,
10324,Berry Mountain,Poor,,,,,,,
10325,Berry Park,Poor,,,,,,,
10326,Berthong,Poor,,,,,,,
10327,Beryl,Poor,,,,,,,
10328,Bethungra,Poor,,,,,,,
10329,Bevendale,Poor,,,,,,,
10330,Beverley Park,Good,,,,,,,
10331,Beverly Hills,Good,,,,,,,
10332,Bewong,Poor,,,,,,,
10333,Bexhill,Good,,,,,,,
10334,Bexley,Good,,,,,,,
10335,Bexley North,Good,,,,,,,
10336,Biala,Poor,,,,,,,
10337,Bibbenluke,Poor,,,,,,,
10338,Biddon,Poor,,,,,,,
10339,Bidgeemia,Poor,,,,,,,
10340,Bidwill (NSW),Good,,,,,,,
10341,Bielsdown Hills,Poor,,,,,,,
10342,Big Hill (NSW),Poor,,,,,,,
10343,Big Jacks Creek,Poor,,,,,,,
10344,Big Ridge,Poor,,,,,,,
10345,Big Springs,Poor,,,,,,,
10346,Bigga,Acceptable,,,,,,,
10347,Bilambil,Poor,,,,,,,
10348,Bilambil Heights,Good,,,,,,,
10349,Bilbul,Acceptable,,,,,,,
10350,Bilgola Beach,Poor,,,,,,,
10351,Bilgola Plateau,Acceptable,,,,,,,
10352,Billeroy,Poor,,,,,,,
10353,Billilingra,Poor,,,,,,,
10354,Billimari,Poor,,,,,,,
10355,Billinudgel,Poor,,,,,,,
10356,Billys Creek,Poor,,,,,,,
10357,Billywillinga,Poor,,,,,,,
10358,Bilpin,Poor,,,,,,,
10359,Bimberi,Poor,,,,,,,
10360,Bimbi,Poor,,,,,,,
10361,Bimbimbie,Poor,,,,,,,
10362,Binalong,Good,,,,,,,
10363,Binda,Good,,,,,,,
10364,Bindera,Poor,,,,,,,
10365,Bingara,Good,,,,,,,
10366,Bingeebeebra Creek,Poor,,,,,,,
10367,Bingie,Poor,,,,,,,
10368,Bingleburra,Poor,,,,,,,
10369,Biniguy,Poor,,,,,,,
10370,Binjura,Poor,,,,,,,
10371,Binna Burra (NSW),Good,,,,,,,
10372,Binnaway,Poor,,,,,,,
10373,Binya,Poor,,,,,,,
10374,Birchgrove,Good,,,,,,,
10375,Birdwood (NSW),Poor,,,,,,,
10376,Birganbigil,Poor,,,,,,,
10377,Birmingham Gardens,Good,,,,,,,
10378,Birriwa,Poor,,,,,,,
10379,Birrong,Good,,,,,,,
10380,Bishops Bridge,Good,,,,,,,
10381,Bithramere,Good,,,,,,,
10382,Black Creek (Port Macquarie-Hastings - NSW),Poor,,,,,,,
10383,Black Creek (Snowy Valleys - NSW),Poor,,,,,,,
10384,Black Head,Acceptable,,,,,,,
10385,Black Hill (NSW),Acceptable,,,,,,,
10386,Black Hollow,Poor,,,,,,,
10387,Black Mountain (NSW),Poor,,,,,,,
10388,Black Range (NSW),Poor,,,,,,,
10389,Black Springs (NSW),Poor,,,,,,,
10390,Blackalls Park,Good,,,,,,,
10391,Blackbutt (NSW),Good,,,,,,,
10392,Blackett,Good,,,,,,,
10393,Blackheath,Good,,,,,,,
10394,Blackmans Flat,Poor,,,,,,,
10395,Blackmans Point,Poor,,,,,,,
10396,Blacksmiths,Good,,,,,,,
10397,Blacktown,Good,,,,,,,
10398,Blackville,Poor,,,,,,,
10399,Blackwall (NSW),Good,,,,,,,
10400,Blair Athol (NSW),Good,,,,,,,
10401,Blairmount,Good,,,,,,,
10402,Blakebrook,Poor,,,,,,,
10403,Blakehurst,Good,,,,,,,
10404,Blakney Creek,Poor,,,,,,,
10405,Bland,Poor,,,,,,,
10406,Blandford,Acceptable,,,,,,,
10407,Blaxland (NSW),Good,,,,,,,
10408,Blaxlands Creek,Poor,,,,,,,
10409,Blaxlands Ridge,Good,,,,,,,
10410,Blayney,Good,,,,,,,
10411,Bligh Park,Good,,,,,,,
10412,Blighty,Poor,,,,,,,
10413,Blowering,Poor,,,,,,,
10414,Blue Bay,Good,,,,,,,
10415,Blue Haven,Good,,,,,,,
10416,Blue Knob,Good,,,,,,,
10417,Blue Mountains National Park,Poor,,,,,,,
10418,Blue Nobby,Poor,,,,,,,
10419,Blue Vale,Poor,,,,,,,
10420,Blueys Beach,Poor,,,,,,,
10421,Boambee,Good,,,,,,,
10422,Boambee East,Good,,,,,,,
10423,Boambolo,Poor,,,,,,,
10424,Boat Harbour (Lismore - NSW),Poor,,,,,,,
10425,Boat Harbour (Port Stephens - NSW),Good,,,,,,,
10426,Bobadah,Poor,,,,,,,
10427,Bobin,Poor,,,,,,,
10428,Bobs Creek,Poor,,,,,,,
10429,Bobs Farm,Acceptable,,,,,,,
10430,Bobundara,Poor,,,,,,,
10431,Boco,Poor,,,,,,,
10432,Bocoble,Poor,,,,,,,
10433,Bocobra,Poor,,,,,,,
10434,Bodalla,Acceptable,,,,,,,
10435,Bodangora,Poor,,,,,,,
10436,Boeill Creek,Poor,,,,,,,
10437,Bogan,Poor,,,,,,,
10438,Bogan Gate,Acceptable,,,,,,,
10439,Bogangar,Good,,,,,,,
10440,Bogee,Poor,,,,,,,
10441,Boggabilla,Good,,,,,,,
10442,Boggabri,Good,,,,,,,
10443,Bogong Peaks Wilderness,Poor,,,,,,,
10444,Bohena Creek,Poor,,,,,,,
10445,Bohnock,Poor,,,,,,,
10446,Bolaro,Poor,,,,,,,
10447,Bolivia,Poor,,,,,,,
10448,Bolong,Poor,,,,,,,
10449,Bolton Point,Good,,,,,,,
10450,Bolwarra (NSW),Poor,,,,,,,
10451,Bolwarra Heights,Good,,,,,,,
10452,Bom Bom,Poor,,,,,,,
10453,Bomaderry,Good,,,,,,,
10454,Bombah Point,Poor,,,,,,,
10455,Bombala,Good,,,,,,,
10456,Bombay,Poor,,,,,,,
10457,Bombira,Acceptable,,,,,,,
10458,Bombo,Poor,,,,,,,
10459,Bombowlee,Good,,,,,,,
10460,Bombowlee Creek,Poor,,,,,,,
10461,Bomen,Good,,,,,,,
10462,Bomera,Poor,,,,,,,
10463,Bonalbo,Poor,,,,,,,
10464,Bondi,Good,,,,,,,
10465,Bondi Beach,Good,,,,,,,
10466,Bondi Forest,Poor,,,,,,,
10467,Bondi Junction,Good,,,,,,,
10468,Bonnells Bay,Good,,,,,,,
10469,Bonnet Bay,Good,,,,,,,
10470,Bonny Hills,Good,,,,,,,
10471,Bonnyrigg,Good,,,,,,,
10472,Bonnyrigg Heights,Good,,,,,,,
10473,Bonshaw (NSW),Poor,,,,,,,
